item	nome	imagem	link	descricao	tema	descritores	tipo de recurso	idioma	autores	permissoes	tamanho	versão android	versao app	data revisão	ano	disciplina	 
1	Palavra Cantada Oficial: Brincando com Palavras	recursos/img/Mobile/Portugues/1/PalavraCantadaOficialBrincandocomPalavras.jpg	https://play.google.com/store/apps/details?id=air.brincandopalavras	O aplicativo “Palavra Cantada Oficial: Brincando com Palavras” traz atividades lúdicas que possibilitam trabalhar não apenas a formação de palavras, mas também a percepção visual e a coordenação motora de crianças em processo de aquisição da escrita.	Formação de palavras.	DPI01	Animação.	Português.	Sioux.	Local, fotos/mídia/arquivos, armazenamento, outros.	Varia de acordo com o dispositivo.	4.1 ou superior.	3.7.	07/04/2020	1	Portugues	 
4	Ariê e os Patinhos	recursos/img/Mobile/Portugues/1/arieeospatinhos.jpg	https://play.google.com/store/apps/details?id=air.patinhos&hl=pt_BR	O aplicativo “Ariê e os Patinhos” explora o alfabeto de modo interativo e divertido, bem como apresenta as letras maiúsculas e minúsculas, favorecendo a ampliação do repertório de letras por parte dos alunos em processo de alfabetização.	Estudo do alfabeto.	DPI01	Animação.	Português.	Krafthaus Designers.	Fotos/mídia/arquivos, armazenamento, outros.	13 MB.	4.0 ou superior.	1.0.3.	07/04/2020	1	Portugues	 
5	As Minhas Histórias	recursos/img/Mobile/Portugues/1/asminhashistorias.jpg	https://play.google.com/store/apps/details?id=com.dzago.roberto.minhashistorias&hl=pt_BR	O aplicativo “As Minhas Histórias” apresenta um conjunto de histórias infantis, buscando promover o estímulo à leitura e à compreensão textual, a partir da resolução de perguntas presentes no final de cada história.	Histórias infantis.	DPI01,DPI07,DPI09	Livro Digital.	Português.	Dzago Studio.	Fotos/mídia/arquivos, armazenamento, outros.	50 MB.	4.0 ou superior.	1.48.	07/04/2020	1	Portugues	 
8	Histórias Infantis para Ler	recursos/img/Mobile/Portugues/1/historiasinfantisparaler.jpg	https://play.google.com/store/apps/details?id=com.farkingdoms.stories&hl=pt_BR	O aplicativo “Histórias Infantis para Ler” apresenta um conjunto de histórias infantis que permitem que o aluno amplie o gosto pela leitura. Além disso, propicia o contato com diferentes gêneros textuais, tais como a fábula e o conto.	Histórias infantis.	DPI05,DPI06,DPI07,DPI14	Livro Digital.	Português.	Far Kingdoms - Stories and Fairy Tales.	Informações sobre a conexão Wi-Fi, outros.	28 MB.	4.1 ou superior.	2.6.1.	07/04/2020	1	Portugues	 
10	Brincando com o Alfabeto	recursos/img/Mobile/Portugues/1/brincandocomoalfabeto.jpg	https://play.google.com/store/apps/details?id=br.com.noas.brincandocomoalfabeto	O aplicativo “Brincando com o Alfabeto” busca contribuir com o processo de alfabetização, desenvolvendo a capacidade de associação da letra sugerida à palavra correspondente, de acordo com o reconhecimento da letra inicial.	Estudo do alfabeto.	DPI01,DPI05	Exercício e prática.	Português.	Sistema de Ensino CNEC.	Outros (Visualiza conexões de rede e acesso total à rede).	12 MB.	2.3.3 ou superior.	1.0.2.	07/04/2020	1	Portugues	 
11	LeLe Sílabas	recursos/img/Mobile/Portugues/2/lelesilabas.jpg	https://play.google.com/store/apps/details?id=com.morgade.lele&hl=pt	O aplicativo “LeLe Sílabas” tem como objetivo estimular a aquisição da leitura e da escrita de palavras. De forma interativa, o aplicativo propõe a combinação de sílabas para formar as palavras, bem como busca desenvolver a compreensão leitora, a partir da identificação das palavras à sua imagem correspondente.	Estudo das sílabas. Formação de palavras.	DPI01,DPI03,DPI05,DPI07,DPII19	Exercício e prática.	Português.	Morgade Soft.	Este app não requer permissões especiais para ser executado.	28 MB.	2.3 ou superior.	1.2.	07/04/2020	2	Portugues	 
12	Silabando	recursos/img/Mobile/Portugues/2/Silabando.jpg	https://play.google.com/store/apps/details?id=com.appsbergman.silabando&hl=pt_BR	O aplicativo “Silabando” aborda o estudo das sílabas e trabalha a formação de palavras, a partir da compreensão dos agrupamentos silábicos e das imagens correspondentes. Assim, o recurso busca contribuir para a aquisição da leitura e da escrita por alunos em processo de alfabetização.	Estudo das sílabas. Formação de palavras.	DPI03,DPI05,DPI07,DPII19	Exercício e prática.	Português.	Apps Bergman.	Outros (Receber dados da Internet, visualizar conexões de rede, acesso total à rede).	28 MB.	4.1 ou superior.	1.2.23.	07/04/2020	2	Portugues	 
13	Formação de Palavras	recursos/img/Mobile/Portugues/2/formacaodepalavras.jpg	https://play.google.com/store/apps/details?id=com.noas.formacao&hl=pt_BR	O aplicativo “Formação de Palavras” tem como objetivo trabalhar a composição de palavras, a partir da compreensão dos agrupamentos silábicos e da relação entre nome e imagem.	Formação de palavras.	DPI03,DPI04,DPI05,DPII19	Exercício e prática.	Português.	Sistema de Ensino CNEC.	Outros (Visualiza conexões de rede e acesso total à rede).	25 MB.	2.3 ou superior.	1.0.	07/04/2020	2	Portugues	 
14	Os Três Porquinhos e o Lobo Mau, o Conto de Fadas	recursos/img/Mobile/Portugues/2/ostresporquinhoseolobomau.jpg	https://play.google.com/store/apps/details?id=com.farkingdoms.the3pigs&hl=pt_BR	O aplicativo “Os Três Porquinhos e o Lobo Mau, o Conto de Fadas” traz o gênero textual conto e apresenta a história de forma lúdica, com ilustrações e transições animadas de imagens e textos. O recurso conta, ainda, com a opção de narração, possibilitando aos alunos maior autonomia para o acompanhamento da leitura.	Conto infantil.	DPI05,DPI06,DPI07,DPI10,DPI14	Livro Digital / Animação.	Português.	Far Kingdoms - Stories and Fairy Tales.	Informações sobre a conexão Wi-Fi, outros.	17 MB.	4.0 ou superior.	1.3.1.	07/04/2020	2	Portugues	
16	Palavrinhas	recursos/img/Mobile/Portugues/2/Palavrinhas.jpg	https://play.google.com/store/apps/details?id=com.moleiragames.palavrinhas	O aplicativo “Palavrinhas” busca desenvolver e aprimorar a aquisição da leitura e da escrita de palavras. A partir do alfabeto móvel, o aluno irá compor os vocábulos de acordo com a imagem correspondente, bem como terá contato com a pronúncia correta das palavras propostas.	Formação de palavras.	DPI03,DPI04,DPI05,DPII19	Exercício e prática.	Português.	Moleira Games.	Fotos/mídia/arquivos, armazenamento, outros.	51 MB.	4.0 ou superior.	2.2.	07/04/2020	2	Portugues	 
