identificador	nome	miniatura	tiporecurso	resumo	disciplina	ano	descritores	OS	navegadores	programas	linkdown	visualizar	tema	origem	autores	idioma	data
1	A história da páscoa	recursos/img/Desktop/Portugues/1/ahistoriapascoa.png	Animação.	O recurso "A História da páscoa" é um conto infantil animado da série "Livros Animados Zuzubalândia", que tem como enredo a história da Páscoa, seu conceito do ponto de vista mitológico, histórico e cristão, bem como os costumes e símbolos relacionados a esta data comemorativa.	Portugues	1	DPI1; DPI3; DPI5; DPI6	windows; linux		flash	recursos/recurso/Portugues/1/ahistoriadapascoa.zip	recursos/recurso/Portugues/1/ahistoriadapascoa.swf	História infantil. Origem da Páscoa.	Portal do Professor.	Mariana Caltabiano.	Português.	2009.
2	Brincando com as vogais	recursos/img/Desktop/Portugues/1/brincandocomasvogais.png	Exercício e prática.	O recurso "Brincando com as vogais" trabalha com a formação de palavras, por meio da relação entre imagem e vocábulo. O recurso, ainda, aborda o desenvolvimento da coordenação motora.	Portugues	1	DPI3; DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/brincandocomasvogais.zip		Formação de palavras. Correlação entre palavras e imagens.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	desconhecida.
3	Formando palavras	recursos/img/Desktop/Portugues/1/formandopalavras.png	Exercício e prática.	O recurso "Formando palavras" trabalha com a formação de palavras, proporcionando aos alunos a identificação de letras e de palavras em diferentes níveis de complexidade.	Portugues	1	DPI3; DPI4; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/formandopalavras.zip	recursos/recurso/Portugues/1/formandopalavras.swf	Identificação de letras. Formação de palavras.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
4	Aprendendo o alfabeto	recursos/img/Desktop/Portugues/1/aprendendooalfabeto.png	Exercício e prática.	O recurso "Aprendendo o alfabeto" aborda as representações das letras maiúsculas e a ordem alfabética, por meio da proposição de exercícios.	Portugues	1	DPI4; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/aprendendooalfabeto.zip	recursos/recurso/Portugues/1/aprendendooalfabeto.swf	Letras maiúsculas. Ordem alfabética.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
5	Colorindo e aprendendo	recursos/img/Desktop/Portugues/1/colorindoeaprendendo.png	Exercício e prática.	O recurso "Colorindo e aprendendo" trabalha com o reconhecimento das vogais e consoantes do alfabeto, levando o aluno a conhecer a distinção entre vogal e consoante.	Portugues	1	DPI1; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/colorindoeaprendendo.zip	recursos/recurso/Portugues/1/colorindoeaprendendo.swf	Vogais. Consoantes. Alfabeto.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
6	Contando letras	recursos/img/Desktop/Portugues/1/contandoletras.png	Exercício e prática.	O recurso "Contando letras” trabalha com a formação de palavras e a relação entre palavras e quantidade de letras, de forma interdisciplinar.	Portugues	1	DPI3; DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/contandoletras.zip	recursos/recurso/Portugues/1/contandoletras.swf	Formação de palavras. Relação entre letras, palavras e imagens.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
7	Brincando com as letrinhas	recursos/img/Desktop/Portugues/1/brincandocomasletrinhas.png	Exercício e prática.	O recurso “Brincando com as letrinhas” trabalha com a identificação de palavras, de forma que os alunos percebam a relação entre os vocábulos e a quantidade de letras.	Portugues	1	DPI3; DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/brincandocomasletrinhas.zip	recursos/recurso/Portugues/1/brincandocomasletrinhas.swf	Formação de palavras. Identificação de letras. Relação entre letras e palavras.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
8	Alfabeto em ordem	recursos/img/Desktop/Portugues/1/alfabetoemordem.png	Exercício e prática.	O recurso "Alfabeto em ordem" trabalha com a ordenação do alfabeto, por meio da disposição correta das letras. A partir disso, o recurso busca estimular que o aluno compreenda a organização da ordem alfabética.	Portugues	1	DPI4; DPI5; DPII19	windows; linux		flash	recursos/recurso/Portugues/1/alfabetoemordem.zip	recursos/recurso/Portugues/1/alfabetoemordem.swf	Ordenação. Alfabeto.	Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS).	Fátima Beatriz.	Português.	Desconhecida.
9	Chico na Ilha dos Jurubebas - De olho na placa	recursos/img/Desktop/Portugues/1/chiconailhadosjurubebasdeolhonaplaca.png	Vídeo.	O recurso “Chico na Ilha dos Jurubebas - De olho na placa” apresenta os jurubebas Chico, Ocride e Anabela em busca por “mangalacias”. Para chegar até o local, a turminha precisa decifrar algumas placas com frases e símbolos encontradas ao longo do caminho, mostrando a importância do letramento social.	Portugues	1	DPI1; DPI4; DPI5	windows; linux		vlc; wmp; celulloid	recursos/recurso/Portugues/1/chiconailhadosjurubebasdeolhonaplaca.zip	recursos/recurso/Portugues/1/chiconailhadosjurubebasdeolhonaplaca.mp4	Compreensão de placas. Símbolos. Convenção social.	TV Escola /  Ministério da Educação (MEC).	TV Escola, Cara de Cão Filmes.	Português.	2014.
10	De olho na lista	recursos/img/Desktop/Portugues/1/deolhonalista.png	Jogo.	O recurso “De olho na lista” busca apresentar e sistematizar características do gênero lista, bem como trabalhar com a produção desse gênero. A aplicação funciona em dois modos: "Desafio das listas" e "Editor de listas". O primeiro modo divide-se em sete fases, apresentando algumas histórias-problema com três personagens ilustrados: uma mulher adulta, um homem adulto e um jovem.	Portugues	1	DPI1; DPI6; DPI9	windows; linux	chrome; firefox; edge		recursos/recurso/Portugues/1/deolhonalista.zip	recursos/recurso/Portugues/1/deolhonalista/red/index.html	Listas. Escrita. Interpretação de texto.	Plataforma MEC de Recursos Educacionais Digitais (RED) /  Grupo de Pesquisa e Produção de Ambientes Interativos e Objetos de Aprendizagem (PROATIVA).	Raquel Santiago Freire, Mércia Valéria Campos Figueiredo, Rayssa Araújo Hitzschky, Danilo Coêlho Sousa, José Aires de Castro Filho, Gilson Júnior, Antônio Melo Júnior, Henrique Pequeno, Márcio Moreira, Julianne Holanda, Deleon Hippolyto, Nádia Lopes, Alexandre da Silva, Iuri Garcia, Mario Silva, Nathan Serra, Schaffer Torres, Diego Linhares.	Português.	2019.
